call_count,sms_count,data_count,unique_callees,avg_duration
-0.31710118837810397,1.0,-0.4946441842510817,1.0,-0.3544535744469469
-0.29071697529276486,-0.4122870793310962,1.0,-0.4945468587758219,1.0
-0.08483239864480233,-0.5040896131190375,-0.41532246668890516,-0.5065776310970739,-0.2855046376279792
-0.5472343147231703,-0.305752974499824,-0.5059477402725476,-0.5314848221319124,-0.36816979407669403
-0.3223409157806155,1.0,-0.47651601185008713,1.0,-0.36228253745928135
-0.028735054272305383,-0.5391401606119074,-0.4699356096689692,-0.5149127779933251,-0.29074953873343834
-0.2845539866073631,-0.5604406787081978,1.0,-0.7587273298364374,1.0
-0.02918079562645802,-0.5393670996436356,-0.4558400793110545,-0.5453084662749537,-0.36352771860838895
-0.09610758578559792,-0.48712045897929634,-0.501815030047669,-0.5174017315803907,-0.37853059858614535
-0.28483693351686723,-0.5852305274159517,1.0,-0.7279814273149603,1.0
-0.09594189078063686,-0.48304974778363696,-0.440817842002036,-0.5423660781622842,-0.3699392442694729
-0.5915391718515159,-0.37363718790128386,-0.4201708746093599,-0.5274934593084144,-0.31984597314256913
0.4317194269458833,1.0,-0.5010548816689447,1.0,-0.29882661370352415
1.0,-0.5436765281983661,-0.45325370165693923,0.8303201857580392,-0.3736032525373077
-0.5683522014626506,-0.4956794248459884,-0.4896738296288512,-0.6906328948064601,-0.34571100785905035
-0.09802149286659662,-0.6164107283951736,-0.44127678169094886,-0.6198586440612666,-0.2696037883722865
1.0,-0.6071844928661968,-0.4718983455910258,0.8337892324197431,-0.31329782813576146
-0.5802655041037027,-0.4716485072827158,-0.45925361720310626,-0.7342964682441211,-0.36931104323530006
-0.05589564726876078,-0.6258219921200181,-0.4371447744485507,-0.6406981084532242,-0.3234212648028285
-0.06074113333567078,-0.2977790667361976,1.0,-0.37870425604302554,1.0
-0.5950185328091062,1.0,-0.4208885119542044,1.0,-0.28676420766310434
1.0,-0.6162075607886096,-0.47975881250536334,1.0,-0.29902939983094684
0.17349002949046766,-0.5637884317141604,-0.4335796748050306,-0.48158522002111,-0.2972555270317745
-0.03078228350333309,-0.4757937421441608,-0.47714984051889825,-0.5391474377064632,-0.3263402497886513
1.0,-0.5694294032853646,-0.4835137112439067,1.0,-0.36324547416510133
0.22369664970096478,-0.5767464371776708,-0.43487187019369733,-0.5220846100794027,-0.3431078814581866
-0.10672885657006306,-0.5168561386025342,-0.45743135912563554,-0.4985346308222891,-0.3401153924644084
-0.039428629320752515,-0.6146698984006579,-0.505814162579179,-0.5845316093259068,-0.33169355582852655
-0.609373011761959,1.0,1.0,1.0,-0.33393449764806415
-0.344560243886437,-0.588089544380549,-0.4892290326576754,-0.7390394504685773,-0.30137734654493475
-0.28951001870294374,-0.47877115567131756,-0.49575605926673644,-0.6106341474060434,-0.36872661147374364
-0.3355061268750409,-0.344593280319395,1.0,-0.4548560859184335,1.0
-0.3611409212115078,-0.5818521053683277,-0.4248248846640738,-0.758340744890103,-0.3761305892161789
-0.3134586779908244,-0.510839385317647,-0.5032191368014491,-0.6496977787117098,-0.3435162978190341
-0.32348629767656917,-0.32750923680899646,1.0,-0.4416860978179871,1.0
-0.6167305434660779,-0.4570659555488073,-0.4294447769515314,-0.6660896643770022,-0.29027796772820397
-0.3146855767836925,1.0,-0.45277993189362453,1.0,-0.33649598891642385
-0.28272237230359804,-0.5950591699479342,-0.4325070935484183,-0.6874156580192863,-0.37742119975596483
-0.3222289782318194,-0.5323510737132687,1.0,-0.594250037863916,1.0
0.44625710017574133,-0.5147826375455878,1.0,-0.38315984496460204,1.0
-0.35557711115570567,-0.5630126313381972,-0.4202077285321512,-0.7449108028294807,-0.35464243799870776
-0.3387891601381354,-0.48324626912269675,1.0,-0.6549320817847402,1.0
0.44485703722933884,-0.5469378624661494,1.0,-0.34635360354986644,1.0
-0.2937724149126961,-0.5838096476674318,-0.5071979562811978,-0.7429129984681964,-0.37163426995639304
-0.5731428210690988,1.0,-0.4725196891062962,1.0,-0.3219492198613381
-0.03768438794462224,-0.4733508898122744,-0.4868585492189765,-0.5242216852328929,-0.288572550663567
-0.31578779052251726,-0.5629487490556602,1.0,-0.7037825458387894,1.0
0.14544991358267578,-0.5503240056297544,1.0,-0.5044356850221435,1.0
-0.110800742361962,-0.4883050648034035,-0.49562742931973575,-0.5782247182236745,-0.2875691539445482
-0.3357077632229373,-0.5813976248553394,1.0,-0.6774042737901433,1.0
0.15998970367754708,-0.6219371255591833,1.0,-0.548662386320306,1.0
-0.07760971893079242,-0.5512563918174158,1.0,-0.6512814254657642,0.5612111476067724
-0.5773901271919202,1.0,-0.44395734224730954,1.0,-0.37080838488280077
-0.0668076876018148,-0.5943488719867802,1.0,-0.6024890727746908,0.6048770742193736
-0.01809536992779069,-0.6278023470694222,-0.46637524896449334,-0.6331030115499369,-0.3062744148654044
-0.5329686834659162,-0.4809399939133909,-0.43913266290807274,-0.7456771212539305,-0.37563273788762175
-0.01940782445357868,-0.6182508261873609,1.0,-0.6686968881240508,0.6347956596735665
-0.0594320107986714,-0.5963445518482126,-0.46342045150274874,-0.6548185909218183,-0.3319092319226061
-0.5990146253251639,-0.5200756527794635,-0.4938927350414316,-0.6864327231271129,-0.28681948165247634
-0.09090031379109043,-0.592664693158993,-0.4797823670897129,-0.5976709602709152,-0.3054879078879529
1.0,1.0,-0.4686570810513449,1.0,-0.36231607553925554
1.0,-0.5452818835985812,1.0,0.1653913804945114,0.6502574689988236
-0.33004114355714836,-0.5746785941707502,-0.49740466599537975,-0.7168887008416085,-0.34666093544032744
-0.292655932170107,-0.3306056641183201,-0.4835520920594241,-0.45056444652184763,-0.30602145032854744
1.0,-0.5499017549012948,1.0,0.18718694524337148,0.6039522111676312
-0.29473785751499104,-0.5782268037644501,-0.4667805216161444,-0.6959794500887242,-0.33430989062792377
-0.28916781661651947,-0.30166184003155805,-0.4335871676911984,-0.47940506764808133,-0.329533885331102
-0.33468644108850815,-0.5701484100822035,-0.49307833695943787,-0.700970952939612,-0.34104107364967107
-0.055346547512950366,1.0,-0.4627521444165867,1.0,-0.2842214294365959
0.18729514870474173,-0.5906113568384246,1.0,-0.5111488431488669,1.0
0.4596203691989199,-0.6130437852326894,-0.4647423078285231,-0.4283253853468949,-0.3654383627075797
-0.31673573928018506,-0.5301486684183346,-0.4616873544607743,-0.6504822470601598,-0.270357853961453
0.17434613163908622,-0.5485209081688213,1.0,-0.5516620147568569,1.0
0.39360589241055716,-0.5456515333947719,-0.46409437973613815,-0.3973478832902144,-0.31968010330141716
-0.32122013019250556,-0.5384503965559951,-0.5073474483824993,-0.6113053842162788,-0.27690901086839503
0.21132954507657237,-0.5385239337843238,-0.4565845662641915,-0.40871452004199216,-0.34353376450805273
-0.5263021381360322,1.0,-0.4866569837706673,1.0,-0.30150991578720565
0.14901241810792556,-0.4979872426633426,-0.41328321892599923,-0.4566226830964216,-0.2867765905945487
-0.020017839737178425,-0.5409779457565123,-0.4424035384643897,-0.6426510016034956,-0.37954322718069927
1.0,-0.548109456438833,-0.45758660300033327,1.0,-0.3630710765242927
0.15159586284604398,-0.45484759548096004,-0.4450422851167991,-0.42781935938928073,-0.2873586600066101
